开始时间,结束时间,total+总收益率%,total+年化收益率%,total+最大回撤%,total+sharpe比率,total+sortino比率,total+calmar比率,total+年化波动率%,total+日波动率%,total+均持天数,total+交易次数,total+交易胜率%,total+盈亏比,total+bar胜率%,total+总交易成本%,策略名称
2026-02-02 01:00:00,2026-06-18 18:15:00,-18.284,-56.563,19.43,-6.232,-2.25,-2.911,9.076,0.475,0.237,50.0,20.0,0.917,42.64,5.0,rvi_lower_signal^120^36|mass_lower1^45^27&tsi_crossunder_signal^90^63^27^EMA|kc_price_crossunder_low^10.0^12.0^3.9&smacd_start_increase^200^520|trailing_stop^34^2.0
2026-02-02 01:00:00,2026-06-18 18:15:00,-20.663,-65.111,22.31,-6.304,-2.254,-2.919,10.329,0.541,0.387,39.0,17.949,0.935,41.622,3.9,rvi_neutral^8^35.0^-35.0^EMA|rvi_neutral^17^20.0^-20.0^SMA&smacd_start_decrease^190^494|smacd_crossunder_signal_3^90^180^117&kc_price_crossover_low^20.0^20.0^2.8999999999999995|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-19.418,-60.602,24.543,-5.135,-2.742,-2.469,11.801,0.618,0.416,58.0,25.862,1.115,43.355,5.8,stoch_d_neutral^17^14^5^80^20|smi_neutral^11^7^30.0^-30.0^EMA&price_crossunder_sma^190|kc_price_crossunder_low^8.0^10.0^3.5&bb_price_crossover_low^35.0^3.4999999999999996|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-5.212,-14.527,9.442,-1.843,-0.6,-1.539,7.88,0.412,0.431,21.0,19.048,2.532,45.455,2.1,emacd_lower_signal^8^11^8|stoch_d_neutral^17^14^5^80^20&kc_price_crossunder_low^8.0^10.0^3.5|smacd_histogram_start_decrease^230^460^322&bb_price_crossover_low^35.0^3.4999999999999996|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-7.764,-22.093,10.752,-2.955,-0.712,-2.055,7.477,0.391,0.409,18.0,33.333,0.694,44.959,1.8,rvi_oversold^200^0.0^EMA|kdj_d_neutral^20^14^6^80^20&sma_fast_crossunder_slow^230^460|emacd_crossunder_signal_3^45^126^40&smacd_start_increase^200^520|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-18.56,-57.541,20.496,-5.637,-2.281,-2.807,10.208,0.534,0.443,35.0,17.143,1.015,41.915,3.5,price_lower_ema^210|stoch_k_oversold^30^15^50&roc_crossunder0^170|supertrend_short_signal^10.0^3.1&bb_price_crossover_high_2^160.0^1.9|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-12.386,-36.582,15.143,-3.612,-1.741,-2.416,10.128,0.53,0.529,36.0,22.222,1.545,44.632,3.6,price_lower_ema^190|rsi_oversold^110^50&smacd_histogram_start_decrease_2^210^546^294|emacd_crossunder_signal^50^80^30&bb_price_crossover_high^190.0^1.9|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-10.315,-29.965,18.738,-2.161,-1.207,-1.599,13.867,0.726,0.522,51.0,29.412,1.473,45.516,5.1,price_lower_ema^210|adx_lower_threshold^100.0^15.0&roc_crossunder0^170|supertrend_short_signal^10.0^3.1&bb_price_crossover_high_2^230.0^2.0999999999999996|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-7.906,-22.525,9.079,-3.245,-0.833,-2.481,6.942,0.363,0.38,20.0,20.0,0.978,44.855,2.0,rsi_oversold^100^50|stoch_d_neutral^17^14^5^80^20&emacd_crossunder_signal_3^45^126^40|bb_price_crossunder_low^20.0^3.9&rvi_crossover_signal^110^77|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-5.413,-15.112,11.124,-1.434,-0.611,-1.358,10.54,0.552,0.494,31.0,32.258,1.444,45.419,3.1,rsi_oversold^110^50|adx_lower_threshold^100.0^15.0&supertrend_short_signal^10.0^3.1|smi_d_crossunder0^250^225^225^EMA&bb_price_crossover_high_2^230.0^2.0999999999999996|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-3.901,-10.758,3.901,-4.871,-0.63,-2.757,2.209,0.116,0.189,7.0,0.0,0.0,33.333,0.7,roc_lower0^6|kdj_d_neutral^20^14^6^80^20&mass_crossover1^210^189|sma_fast_crossunder_slow_2^90^252&kc_price_crossover_low^14.0^17.0^2.5|trailing_stop^34^2.0
2026-02-02 01:00:00,2026-06-18 18:15:00,-3.815,-10.512,3.874,-2.989,-0.234,-2.713,3.517,0.184,0.127,6.0,16.667,0.188,36.842,0.6,emacd_lower_signal^8^11^8|kdj_d_neutral^20^14^6^80^20&kc_price_crossunder_low_2^10.0^12.0^3.9|kc_price_crossunder_low^8.0^10.0^3.5&kc_price_crossover_low^20.0^20.0^2.8999999999999995|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-7.688,-21.866,13.006,-2.717,-0.762,-1.681,8.047,0.421,0.486,16.0,18.75,1.838,43.557,1.6,price_lower_ema^190|rsi_fast_lower_slow^40^104&smacd_histogram_start_decrease_2^210^546^294|adx_crossover_threshold^55.0^30.0&stoch_k_crossover50^100^70|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-6.273,-17.635,9.669,-1.442,-0.651,-1.824,12.231,0.64,0.444,42.0,33.333,1.367,46.237,4.2,rsi_oversold^100^50|stoch_d_neutral^17^14^5^80^20&rsi_fast_crossunder_slow^35^91|emacd_crossunder_signal_3^45^126^40&trix_crossover_signal^160^128|trailing_stop^34^2.5
2026-02-02 01:00:00,2026-06-18 18:15:00,-2.281,-6.205,3.822,-1.782,-0.283,-1.624,3.483,0.182,0.291,6.0,16.667,1.76,39.08,0.6,smi_k_lower_d^23^18^16|stoch_d_neutral^17^14^5^80^20&stoch_k_crossunder_d^250^225^175|ma_atr_short_signal^10.0^12.0^2.8&kc_price_crossover_low^14.0^17.0^2.5|trailing_stop^34^2.5
